episode_start,episode_end,peak_date,peak_score,duration_windows,threshold
2020-03-05,2020-06-30,2020-03-18,117.81710677237889,82,8.007681109895579
2011-08-16,2011-08-25,2011-08-22,38.56179531214014,8,8.007681109895579
2022-12-01,2022-12-08,2022-12-08,22.924772319481725,6,8.007681109895579
2011-08-04,2011-08-10,2011-08-10,21.31831889500104,5,8.007681109895579
2011-09-19,2011-09-23,2011-09-22,17.321976361507787,5,8.007681109895579
2022-04-29,2022-05-03,2022-05-02,15.90209644410884,3,8.007681109895579
2025-05-15,2025-05-21,2025-05-19,15.68708274355101,5,8.007681109895579
2022-10-07,2022-10-10,2022-10-10,14.675054460597671,2,8.007681109895579
2011-10-27,2011-11-01,2011-10-28,14.038243789765291,4,8.007681109895579
2022-05-05,2022-05-09,2022-05-09,14.036195322759,3,8.007681109895579
2022-05-11,2022-05-12,2022-05-12,12.994774999575949,2,8.007681109895579
2022-04-26,2022-04-27,2022-04-27,12.764390835407061,2,8.007681109895579
2010-05-20,2010-05-24,2010-05-20,12.709557497930009,3,8.007681109895579
2022-09-23,2022-09-27,2022-09-27,12.303347218188389,3,8.007681109895579
2023-11-22,2023-11-29,2023-11-29,12.157342712635478,5,8.007681109895579
2025-04-21,2025-05-05,2025-04-23,12.01132232874204,11,8.007681109895579
2012-06-01,2012-06-01,2012-06-01,11.720454389347994,1,8.007681109895579
2011-11-25,2011-11-25,2011-11-25,11.681503100748097,1,8.007681109895579
2022-03-28,2022-03-29,2022-03-29,11.279440715522739,2,8.007681109895579
2026-04-24,2026-04-28,2026-04-27,11.03917195148334,3,8.007681109895579
2019-01-03,2019-01-03,2019-01-03,10.988909601068139,1,8.007681109895579
2011-09-06,2011-09-06,2011-09-06,10.90504220315367,1,8.007681109895579
2018-12-24,2018-12-24,2018-12-24,10.608232339719324,1,8.007681109895579
2022-01-25,2022-01-27,2022-01-25,10.456087894016799,3,8.007681109895579
2022-05-18,2022-05-19,2022-05-18,10.43510445422478,2,8.007681109895579
2022-12-27,2022-12-29,2022-12-28,10.22988816528976,3,8.007681109895579
2025-04-11,2025-04-15,2025-04-14,10.105302327154748,3,8.007681109895579
2025-05-07,2025-05-07,2025-05-07,10.070420146786665,1,8.007681109895579
2025-04-08,2025-04-09,2025-04-09,9.944826907791823,2,8.007681109895579
2022-04-11,2022-04-11,2022-04-11,9.903710139441456,1,8.007681109895579
2010-05-26,2010-05-26,2010-05-26,9.864424492881996,1,8.007681109895579
2025-04-04,2025-04-04,2025-04-04,9.74450235117871,1,8.007681109895579
2022-04-04,2022-04-04,2022-04-04,9.55259524620443,1,8.007681109895579
2022-10-21,2022-10-24,2022-10-21,9.546070278127143,2,8.007681109895579
2022-09-16,2022-09-16,2022-09-16,9.531550103293245,1,8.007681109895579
2024-08-05,2024-08-05,2024-08-05,9.391102823296954,1,8.007681109895579
2023-02-02,2023-02-03,2023-02-02,9.299124170202042,2,8.007681109895579
2011-10-20,2011-10-24,2011-10-20,9.088790906071184,3,8.007681109895579
2020-02-28,2020-02-28,2020-02-28,9.067990331774313,1,8.007681109895579
2022-09-13,2022-09-14,2022-09-13,9.061576554482865,2,8.007681109895579
2011-08-12,2011-08-12,2011-08-12,9.021402602746956,1,8.007681109895579
2015-08-25,2015-08-25,2015-08-25,8.932769696364367,1,8.007681109895579
2011-09-08,2011-09-08,2011-09-08,8.919884683355027,1,8.007681109895579
2023-12-14,2023-12-14,2023-12-14,8.905519902062373,1,8.007681109895579
2019-08-27,2019-08-27,2019-08-27,8.894408794384692,1,8.007681109895579
2021-02-25,2021-02-25,2021-02-25,8.700081087007538,1,8.007681109895579
2022-11-16,2022-11-16,2022-11-16,8.68618019475661,1,8.007681109895579
2024-08-07,2024-08-07,2024-08-07,8.574385335310682,1,8.007681109895579
2019-08-15,2019-08-15,2019-08-15,8.560113156852141,1,8.007681109895579
2019-08-23,2019-08-23,2019-08-23,8.554767691505361,1,8.007681109895579
2023-01-27,2023-01-27,2023-01-27,8.534074882388671,1,8.007681109895579
2022-11-11,2022-11-11,2022-11-11,8.337067593506879,1,8.007681109895579
2022-09-06,2022-09-06,2022-09-06,8.101245559802248,1,8.007681109895579
2023-02-16,2023-02-16,2023-02-16,8.012531877893691,1,8.007681109895579
2022-12-20,2022-12-20,2022-12-20,8.010655541658606,1,8.007681109895579
